n_stop,name_relation,name_app,id,url
1,Chiesa rurale San Calogero,Chiesa di San Calogero,chiesa-san-calogero,https://itinerarioregalbuto.magnetico.cloud/chiesa-san-calogero
2,Vecchio Serbatoio Idrico,Vecchio Serbatoio Idrico,vecchio-serbatoio-idrico,https://itinerarioregalbuto.magnetico.cloud/vecchio-serbatoio-idrico
3,Chiesa Madonna del Carmelo,Chiesa della Madonna del Carmelo,chiesa-madonna-carmelo,https://itinerarioregalbuto.magnetico.cloud/chiesa-madonna-carmelo
4,Casa Di Marco,Casa Di Marco,casa-di-marco,https://itinerarioregalbuto.magnetico.cloud/casa-di-marco
5,Casa Polizzi,Casa Polizzi,casa-polizzi,https://itinerarioregalbuto.magnetico.cloud/casa-polizzi
6,Casa Insinga,Casa Insinga,casa-insinga,https://itinerarioregalbuto.magnetico.cloud/casa-insinga
7,Chiesa S.M. delle Grazie e Convento Annesso (Istituto Femminile S. Giuseppe),Chiesa di Santa Maria delle Grazie,chiesa-santa-maria-grazie,https://itinerarioregalbuto.magnetico.cloud/chiesa-santa-maria-grazie
7,Chiesa S.M. delle Grazie e Convento Annesso (Istituto Femminile S. Giuseppe),Convento di Santa Maria delle Grazie (Istituto femminile San Giuseppe),convento-santa-maria-grazie,https://itinerarioregalbuto.magnetico.cloud/convento-santa-maria-grazie
8,Casa Stancanelli,Casa Stancanelli,casa-stancanelli,https://itinerarioregalbuto.magnetico.cloud/casa-stancanelli
9,Casa Carambia,Casa Carambia,casa-carambia,https://itinerarioregalbuto.magnetico.cloud/casa-carambia
10,Scuola Elementare G.F. Ingrassia,Scuola Elementare G.F. Ingrassia,scuola-elementare-ingrassia,https://itinerarioregalbuto.magnetico.cloud/scuola-elementare-ingrassia
11,Casa Blasco,Casa Blasco,casa-blasco,https://itinerarioregalbuto.magnetico.cloud/casa-blasco
12,Chiesa Maria S.S. della Croce,Chiesa di Santa Maria la Croce,chiesa-santa-maria-croce,https://itinerarioregalbuto.magnetico.cloud/chiesa-santa-maria-croce
13,Palazzo piazza Matteotti,Palazzo piazza Matteotti,palazzo-piazza-matteotti,https://itinerarioregalbuto.magnetico.cloud/palazzo-piazza-matteotti
14,Convento S. Agostino,Convento di Sant'Agostino,convento-sant-agostino,https://itinerarioregalbuto.magnetico.cloud/convento-sant-agostino
15,Monumento ai Caduti,Monumento ai Caduti,monumento-caduti,https://itinerarioregalbuto.magnetico.cloud/monumento-caduti
16,Cine Teatro Urania,CineTeatro Urania ,cineteatro-urania,https://itinerarioregalbuto.magnetico.cloud/cineteatro-urania
17,Casa Spitalieri,Casa Spitalieri,casa-spitalieri,https://itinerarioregalbuto.magnetico.cloud/casa-spitalieri
18,Chiesa S. Giovanni e Convento Annesso,Chiesa di Sant'Agostino in San Giovanni,chiesa-sant-agostino,https://itinerarioregalbuto.magnetico.cloud/chiesa-sant-agostino
18,Chiesa S. Giovanni e Convento Annesso,Convento di San Giovanni (Sant'Agostino),convento-san-giovanni,https://itinerarioregalbuto.magnetico.cloud/convento-san-giovanni
19,Casa Manno,Casa Manno,casa-manno,https://itinerarioregalbuto.magnetico.cloud/casa-manno
